SBU,Year,Country,Sold-to Code (Number version),# Products,Net Sales (EUR),Base Quantity (Volume-tons)
APF,2018,Argentina,1052974,4,1670.96,0.875
APF,2018,Argentina,1053209,4,6231.19,0.318
APF,2018,Argentina,1053569,22,193158.02,9.1978
APF,2018,Argentina,1058237,3,9768.48,0.592
APF,2018,Argentina,1061597,15,87007.09,3.67
APF,2018,Argentina,1061744,3,65963.17,5.3
APF,2018,Argentina,1063762,25,558410.71,23.911356
APF,2018,Argentina,1065510,1,0,0
APF,2018,Argentina,1065657,6,24433.76,0.928201
APF,2018,Argentina,1066841,6,258865.97,8.5486
APF,2018,Argentina,1067788,39,1414055.83,81.03115
APF,2018,Argentina,1072813,23,61576.14,0.104
APF,2018,Argentina,1076876,12,8465.14,1.646
APF,2018,Argentina,1077860,20,136523.8,7.011
APF,2018,Argentina,1079767,6,1201.89,0.15
APF,2018,Argentina,1080322,5,32015.19,6.76
APF,2018,Argentina,1081366,3,1740.63,0.521
APF,2018,Argentina,1082724,28,581761.94,20.35058
APF,2018,Argentina,1084909,10,12716.75,0.6333
APF,2018,Argentina,1085578,87,0,0
APF,2018,Argentina,1091297,5,7488.51,0.93
APF,2018,Argentina,1092704,5,38901.15,2.438
APF,2018,Argentina,1092705,4,85278.51,5.3
APF,2018,Argentina,1094292,18,120654.69,6.474
APF,2018,Argentina,1095246,21,113701.34,5.7124
APF,2018,Argentina,1103131,3,18952.86,1.06
APF,2018,Argentina,1103140,1,2896.05,0
APF,2018,Argentina,1103154,16,58779.35,6.7054
APF,2018,Argentina,1103169,49,490231.13,30.7882
APF,2018,Argentina,1105578,7,433266.64,22.5128
APF,2018,Argentina,1106462,5,3323.12,0.917
APF,2018,Argentina,1107197,10,66187.71,2.6774
APF,2018,Argentina,1107571,6,17140.4,1.06
APF,2018,Argentina,1108179,43,568738.62,25.2198
APF,2018,Argentina,1109484,4,5544.07,0.0925
APF,2018,Argentina,1111173,10,12220.6,3.2015
APF,2018,Argentina,1112323,6,110267.59,4.8407
APF,2018,Argentina,1113146,13,-481.1,0
APF,2018,Argentina,1114402,9,33243.4,1.2095
APF,2018,Argentina,1115073,12,13798.51,1.206
APF,2018,Argentina,1115579,13,986662.11,51.77
APF,2018,Argentina,1116707,3,32973.04,1.543
APF,2018,Argentina,1117258,33,437271.06,34.1781
APF,2018,Argentina,1120613,39,468652.63,21.24868
APF,2018,Argentina,1122028,6,40526.05,2.12
APF,2018,Argentina,1123005,11,112413.56,13.532
APF,2018,Argentina,1123199,11,37036.72,9.7786
APF,2018,Argentina,1123324,7,44702.09,1.615503
APF,2018,Argentina,1124443,11,-16790.89,0
APF,2018,Argentina,1124940,5,17534.97,0.509366
APF,2018,Argentina,1127241,30,205220.64,4.62
APF,2018,Argentina,1127255,13,32609.61,7.11128
APF,2018,Argentina,1127536,2,51056.97,3.18
APF,2018,Argentina,1183765,9,10997.64,0.8517
APF,2018,Argentina,1258547,21,720826.3,36.207876
APF,2018,Argentina,1297280,40,395709.7,16.95358
APF,2018,Argentina,1509375,7,10501.18,0.723
APF,2018,Argentina,1509401,1,31289.64,1.8656
APF,2018,Argentina,1511055,20,238833.23,11.1162
APF,2018,Argentina,1535835,4,5478.83,1.05
APF,2018,Argentina,1560660,22,17945.99,0.6264
APF,2018,Argentina,1657595,6,20702.46,1.06
APF,2018,Argentina,1736569,14,70726.46,3.381
APF,2018,Argentina,1755105,6,264781.16,16.7268
APF,2018,Argentina,1787882,24,904275.03,47.5964
APF,2018,Argentina,1812366,8,3727.97,0
APF,2018,Argentina,1883428,21,53943.69,2.992
